bins,alert,Eureka,CB
1,1.5843547029664385e-17,2.3716544115658797e-17,4.733343878862706e-17
2,1.5348364625989222e-17,2.3955808057651156e-17,4.696776061997865e-17
3,1.511662323532871e-17,2.3925056659435118e-17,4.629173112717655e-17
4,1.572205305306641e-17,2.3688575086309312e-17,4.487454148931203e-17
5,1.5643734445347503e-17,2.2901041836238118e-17,4.3935511034876035e-17
6,1.5410571875366933e-17,2.3412948450471376e-17,4.491191787012184e-17
7,1.5009838149736972e-17,2.3084205993256782e-17,4.383551564512978e-17
8,1.5207099950641235e-17,2.271932810346197e-17,4.331462668816233e-17
9,1.516565980765744e-17,2.22226600514637e-17,4.2283747499899386e-17
10,1.510334152027802e-17,2.1705809627459164e-17,4.2353739167569357e-17
11,1.471560391588453e-17,2.150448781112341e-17,4.139553346424463e-17
12,1.4934317603670226e-17,2.12233105739007e-17,4.16981602573141e-17
13,1.4662264005921644e-17,2.1380416763850528e-17,4.071402889098409e-17
14,1.4862200537575295e-17,2.0958618953976357e-17,4.10209844113607e-17
15,1.464066055134952e-17,2.0557604438458527e-17,4.009654034804744e-17
16,1.481305292724486e-17,2.070941472927246e-17,3.997602412326995e-17
17,1.4451135743262512e-17,2.0667769828289913e-17,3.9465249652981267e-17
18,1.4414927930212622e-17,2.0549330092493186e-17,3.991808571399136e-17
19,1.450281423716858e-17,2.0422326407493893e-17,3.9573039826296116e-17
20,1.469137399599113e-17,2.043066755297654e-17,3.911240898171742e-17
21,1.4818732719037997e-17,2.011542854134588e-17,3.901838922931722e-17
22,1.4528693507509865e-17,2.0528934739725422e-17,3.84484327473067e-17
23,1.4590533580025737e-17,2.0159837957160754e-17,3.854338542323699e-17
24,1.4423459339125288e-17,2.006292130346532e-17,3.961777862403204e-17
25,1.4513421361331965e-17,2.0208170423315078e-17,3.830874127364048e-17
26,1.4523036903548588e-17,1.9949249223469997e-17,3.891678812296962e-17
27,1.4552098769483186e-17,2.0112135420448376e-17,3.948674460498014e-17
28,1.464656195467387e-17,2.0385968171193758e-17,3.924777172807647e-17
